tick_production_bovine,tick_production_porc,tick_production_poulet,tick_production_legumes,tick_production_coton,tick_consommation_bovine,tick_consommation_porc,tick_consommation_poulet,tick_consommation_legumes,tick_distribution_bovine,tick_distribution_porc,tick_distribution_poulet,tick_distribution_legumes,tick_reception_bovine,tick_reception_porc,tick_reception_poulet,tick_reception_legumes,tick_emission_total,tick_surface_used_viandes,tick_surface_used_legumes,tick_surface_manque_viandes,tick_surface_manque_legumes,tick_water_used_agricole,tick_energy_used_agricole,tick_penurie_bovine,tick_penurie_porc,tick_penurie_poulet,tick_penurie_legumes,tick_stock_bovine,tick_stock_porc,tick_stock_poulet,tick_stock_legumes
6089508.0,8851416.0,7753308.0,34740144.0,0.0,6089508.0,8851416.0,7753308.0,34740144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74989129.8,1790265438.0,22928495.040000003,0.0,0.0,191591428296.0,92564181.96000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6101037.0,8868174.0,7767987.0,34805916.0,0.0,6096462.0,8861524.0,7762162.0,34779816.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,75131103.44999999,1793654869.5,22971904.560000002,0.0,0.0,191954159994.0,92739429.69,4575.0,6650.0,5825.0,26100.0,0.0,0.0,0.0,0.0
6096462.0,8861524.0,7762162.0,34779816.0,0.0,6096462.0,8861524.0,7762162.0,34779816.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,75074764.69999999,1792309857.0,22954678.560000002,0.0,0.0,191810218844.0,92669886.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6096462.0,8861524.0,7762162.0,34779816.0,0.0,6096462.0,8861524.0,7762162.0,34779816.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,75074764.69999999,1792309857.0,22954678.560000002,0.0,0.0,191810218844.0,92669886.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6096462.0,8861524.0,7762162.0,34779816.0,0.0,6096462.0,8861524.0,7762162.0,34779816.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,75074764.69999999,1792309857.0,22954678.560000002,0.0,0.0,191810218844.0,92669886.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6096462.0,8861524.0,7762162.0,34779816.0,0.0,6096462.0,8861524.0,7762162.0,34779816.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,75074764.69999999,1792309857.0,22954678.560000002,0.0,0.0,191810218844.0,92669886.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6096462.0,8861524.0,7762162.0,34779816.0,0.0,6096462.0,8861524.0,7762162.0,34779816.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,75074764.69999999,1792309857.0,22954678.560000002,0.0,0.0,191810218844.0,92669886.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6153558.0,8944516.0,7834858.0,35105544.0,0.0,6125010.0,8903020.0,7798510.0,34942680.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,75777872.3,1809095613.0,23169659.040000003,0.0,0.0,193606604396.0,93537780.46000001,28548.0,41496.0,36348.0,162864.0,0.0,0.0,0.0,0.0
6175884.0,8976968.0,7863284.0,35232912.0,0.0,6150447.0,8939994.0,7830897.0,35087796.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,76052805.39999999,1815659274.0,23253721.92,0.0,0.0,194309037208.0,93877149.08,25437.0,36974.0,32387.0,145116.0,0.0,0.0,0.0,0.0
6150447.0,8939994.0,7830897.0,35087796.0,0.0,6150447.0,8939994.0,7830897.0,35087796.0,2379.0,3458.0,3029.0,13572.0,0.0,0.0,0.0,0.0,75739561.94999999,1808181004.5,23157945.36,0.0,0.0,193508724414.0,93490491.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
