tick_production_bovine,tick_production_porc,tick_production_poulet,tick_production_legumes,tick_production_coton,tick_consommation_bovine,tick_consommation_porc,tick_consommation_poulet,tick_consommation_legumes,tick_distribution_bovine,tick_distribution_porc,tick_distribution_poulet,tick_distribution_legumes,tick_reception_bovine,tick_reception_porc,tick_reception_poulet,tick_reception_legumes,tick_emission_total,tick_surface_used_viandes,tick_surface_used_legumes,tick_surface_manque_viandes,tick_surface_manque_legumes,tick_water_used_agricole,tick_energy_used_agricole,tick_penurie_bovine,tick_penurie_porc,tick_penurie_poulet,tick_penurie_legumes,tick_stock_bovine,tick_stock_porc,tick_stock_poulet,tick_stock_legumes
6248718.0,9082836.0,7956018.0,35648424.0,0.0,6248718.0,9082836.0,7956018.0,35648424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76949718.29999998,1837071873.0,23527959.84,0.0,0.0,196600580316.0,94984269.66000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6245241.0,9077782.0,7951591.0,35628588.0,0.0,6245241.0,9077782.0,7951591.0,35628588.0,0.0,0.0,0.0,0.0,3477.0,5054.0,4427.0,19836.0,76906900.85,1836049663.5,23514868.080000002,0.0,0.0,196491185042.0,94931417.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6245241.0,9077782.0,7951591.0,35628588.0,0.0,6245241.0,9077782.0,7951591.0,35628588.0,0.0,0.0,0.0,0.0,3477.0,5054.0,4427.0,19836.0,76906900.85,1836049663.5,23514868.080000002,0.0,0.0,196491185042.0,94931417.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6245241.0,9077782.0,7951591.0,35628588.0,0.0,6245241.0,9077782.0,7951591.0,35628588.0,0.0,0.0,0.0,0.0,3477.0,5054.0,4427.0,19836.0,76906900.85,1836049663.5,23514868.080000002,0.0,0.0,196491185042.0,94931417.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6242496.0,9073792.0,7948096.0,35612928.0,0.0,6242496.0,9073792.0,7948096.0,35612928.0,0.0,0.0,0.0,0.0,6222.0,9044.0,7922.0,35496.0,76873097.6,1835242656.0,23504532.48,0.0,0.0,196404820352.0,94889691.52000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6257868.0,9096136.0,7967668.0,35700624.0,0.0,6252012.0,9087624.0,7960212.0,35667216.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,77062395.79999998,1839761898.0,23562411.84,0.0,0.0,196888462616.0,95123355.16000001,5856.0,8512.0,7456.0,33408.0,0.0,0.0,0.0,0.0
6252012.0,9087624.0,7960212.0,35667216.0,0.0,6252012.0,9087624.0,7960212.0,35667216.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,76990282.19999999,1838040282.0,23540362.560000002,0.0,0.0,196704217944.0,95034340.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6277632.0,9124864.0,7992832.0,35813376.0,0.0,6264822.0,9106244.0,7976522.0,35740296.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,77305779.2,1845572352.0,23636828.16,0.0,0.0,197510288384.0,95423779.84,12810.0,18620.0,16310.0,73080.0,0.0,0.0,0.0,0.0
6264822.0,9106244.0,7976522.0,35740296.0,0.0,6264822.0,9106244.0,7976522.0,35740296.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,77148030.69999999,1841806317.0,23588595.36,0.0,0.0,197107253164.0,95229060.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6264822.0,9106244.0,7976522.0,35740296.0,0.0,6264822.0,9106244.0,7976522.0,35740296.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,77148030.69999999,1841806317.0,23588595.36,0.0,0.0,197107253164.0,95229060.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6264822.0,9106244.0,7976522.0,35740296.0,0.0,6264822.0,9106244.0,7976522.0,35740296.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,77148030.69999999,1841806317.0,23588595.36,0.0,0.0,197107253164.0,95229060.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6264822.0,9106244.0,7976522.0,35740296.0,0.0,6264822.0,9106244.0,7976522.0,35740296.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,77148030.69999999,1841806317.0,23588595.36,0.0,0.0,197107253164.0,95229060.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6264822.0,9106244.0,7976522.0,35740296.0,0.0,6264822.0,9106244.0,7976522.0,35740296.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,77148030.69999999,1841806317.0,23588595.36,0.0,0.0,197107253164.0,95229060.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6264822.0,9106244.0,7976522.0,35740296.0,0.0,6264822.0,9106244.0,7976522.0,35740296.0,3660.0,5320.0,4660.0,20880.0,6222.0,9044.0,7922.0,35496.0,77148030.69999999,1841806317.0,23588595.36,0.0,0.0,197107253164.0,95229060.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6259515.0,9098530.0,7969765.0,35710019.99999999,0.0,6259515.0,9098530.0,7969765.0,35710019.99999999,3660.0,5320.0,4660.0,20880.0,11529.0,16758.0,14679.0,65772.00000000745,77082677.75,1840246102.5,23568613.199999996,0.0,0.0,196940281430.0,95148390.55000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6259515.0,9098530.0,7969765.0,35710019.99999999,0.0,6259515.0,9098530.0,7969765.0,35710019.99999999,3660.0,5320.0,4660.0,20880.0,11529.0,16758.0,14679.0,65772.00000000745,77082677.75,1840246102.5,23568613.199999996,0.0,0.0,196940281430.0,95148390.55000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6259515.0,9098530.0,7969765.0,35710019.99999999,0.0,6259515.0,9098530.0,7969765.0,35710019.99999999,3660.0,5320.0,4660.0,20880.0,11529.0,16758.0,14679.0,65772.00000000745,77082677.75,1840246102.5,23568613.199999996,0.0,0.0,196940281430.0,95148390.55000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6258417.0,9096934.0,7968367.0,35703755.99999999,0.0,6258417.0,9096934.0,7968367.0,35703755.99999999,3660.0,5320.0,4660.0,20880.0,12627.0,18354.0,16077.0,72036.00000000745,77069156.44999999,1839923299.5,23564478.959999997,0.0,0.0,196905735554.0,95131700.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
